SenderUniversalID,ReceiverUniversalID,SenderID,ReceiverID,SenderName,ReceiverInternalName,DocumentRef,DocumentNumber,DocumentType,LinkRef,LocationCode,BusinessModel,TransactionType,TransactionStatus,DocumentDate,PostingDate,ResourceID,ResourceName,ResourceCategory,ProductCode,ProductValue,ProductType,Currency
FLINTO,Buyer4,FLINTO,Buyer4,Flinto Learning Solution,B4,RCPT/20220812/200004,ITEM/FLP/CD200004,RCPT,ITEM/FLP/CD200004,LOCATION1,BOX,RCPT,Received,2022-08-03,2022-08-05,ABC1,ABC1,SM,FLINTBOX,12000,BOX,INR
FLINTO,Buyer5,FLINTO,Buyer5,Flinto Learning Solution,B5,RCPT/20220812/200005,ITEM/FLP/CD200005,RCPT,ITEM/FLP/CD200005,LOCATION1,BOX,RCPT,Received,2022-08-03,2022-08-05,ABC1,ABC1,SM,FLINTBOX,20000,BOX,INR
FLINTO,Buyer6,FLINTO,Buyer6,Flinto Learning Solution,B6,RCPT/20220812/200006,ITEM/FLP/CD200006,RCPT,ITEM/FLP/CD200006,LOCATION1,BOX,RCPT,Received,2022-08-03,2022-08-05,ABC1,ABC1,SM,FLINTBOX,20000,BOX,INR
FLINTO,Buyer7,FLINTO,Buyer7,Flinto Learning Solution,B7,RCPT/20220812/200007,ITEM/FLP/CD200007,RCPT,ITEM/FLP/CD200007,LOCATION1,BOX,RCPT,Received,2022-08-03,2022-08-05,ABC1,ABC1,SM,FLINTBOX,20000,BOX,INR
FLINTO,Buyer8,FLINTO,Buyer8,Flinto Learning Solution,B8,RCPT/20220812/200008,ITEM/FLP/CD200008,RCPT,ITEM/FLP/CD200008,LOCATION1,BOX,RCPT,Received,2022-08-03,2022-08-05,ABC1,ABC1,SM,FLINTBOX,20000,BOX,INR
FLINTO,Buyer9,FLINTO,Buyer9,Flinto Learning Solution,B9,RCPT/20220812/200009,ITEM/FLP/CD200009,RCPT,ITEM/FLP/CD200009,LOCATION1,BOX,RCPT,Received,2022-08-03,2022-08-05,ABC1,ABC1,SM,FLINTBOX,18500,BOX,INR
FLINTO,Buyer10,FLINTO,Buyer10,Flinto Learning Solution,B10,RCPT/20220812/200010,ITEM/FLP/CD200010,RCPT,ITEM/FLP/CD200010,LOCATION1,BOX,RCPT,Received,2022-08-03,2022-08-05,ABC1,ABC1,SM,FLINTBOX,18500,BOX,INR
FLINTO,Buyer11,FLINTO,Buyer11,Flinto Learning Solution,B11,RCPT/20220812/200011,ITEM/FLP/CD200011,RCPT,ITEM/FLP/CD200011,LOCATION1,BOX,RCPT,Received,2022-08-03,2022-08-05,ABC1,ABC1,SM,FLINTBOX,18500,BOX,INR
FLINTO,Buyer12,FLINTO,Buyer12,Flinto Learning Solution,B12,RCPT/20220812/200012,ITEM/FLP/CD200012,RCPT,ITEM/FLP/CD200012,LOCATION1,BOX,RCPT,Received,2022-08-03,2022-08-05,ABC1,ABC1,SM,FLINTBOX,18500,BOX,INR
FLINTO,Buyer13,FLINTO,Buyer13,Flinto Learning Solution,B13,RCPT/20220812/200013,ITEM/FLP/CD200013,RCPT,ITEM/FLP/CD200013,LOCATION1,BOX,RCPT,Received,2022-08-03,2022-08-05,ABC1,ABC1,SM,FLINTBOX,32000,BOX,INR
FLINTO,Buyer14,FLINTO,Buyer14,Flinto Learning Solution,B14,RCPT/20220812/200014,ITEM/FLP/CD200014,RCPT,ITEM/FLP/CD200014,LOCATION1,BOX,RCPT,Received,2022-08-03,2022-08-05,ABC1,ABC1,SM,FLINTBOX,32000,BOX,INR
FLINTO,Buyer15,FLINTO,Buyer15,Flinto Learning Solution,B15,RCPT/20220812/200015,ITEM/FLP/CD200015,RCPT,ITEM/FLP/CD200015,LOCATION1,BOX,RCPT,Received,2022-08-03,2022-08-05,ABC1,ABC1,SM,FLINTBOX,32000,BOX,INR
FLINTO,Buyer16,FLINTO,Buyer16,Flinto Learning Solution,B16,RCPT/20220812/200016,ITEM/FLP/CD200016,RCPT,ITEM/FLP/CD200016,LOCATION1,BOX,RCPT,Received,2022-08-03,2022-08-05,ABC1,ABC1,SM,FLINTBOX,32000,BOX,INR
FLINTO,Buyer17,FLINTO,Buyer17,Flinto Learning Solution,B17,RCPT/20220812/200017,ITEM/FLP/CD200017,RCPT,ITEM/FLP/CD200017,LOCATION1,BOX,RCPT,Received,2022-08-03,2022-08-05,ABC1,ABC1,SM,FLINTBOX,32000,BOX,INR
FLINTO,Buyer18,FLINTO,Buyer18,Flinto Learning Solution,B18,RCPT/20220812/200018,ITEM/FLP/CD200018,RCPT,ITEM/FLP/CD200018,LOCATION1,BOX,RCPT,Received,2022-08-03,2022-08-05,ABC1,ABC1,SM,FLINTBOX,32000,BOX,INR
FLINTO,Buyer19,FLINTO,Buyer19,Flinto Learning Solution,B19,RCPT/20220812/200019,ITEM/FLP/CD200019,RCPT,ITEM/FLP/CD200019,LOCATION1,BOX,RCPT,Received,2022-08-03,2022-08-05,ABC1,ABC1,SM,FLINTBOX,32000,BOX,INR
FLINTO,Buyer20,FLINTO,Buyer20,Flinto Learning Solution,B20,RCPT/20220812/200020,ITEM/FLP/CD200020,RCPT,ITEM/FLP/CD200020,LOCATION1,BOX,RCPT,Received,2022-08-03,2022-08-05,ABC1,ABC1,SM,FLINTBOX,32000,BOX,INR
FLINTO,Buyer21,FLINTO,Buyer21,Flinto Learning Solution,B21,RCPT/20220812/200021,ITEM/FLP/CD200021,RCPT,ITEM/FLP/CD200021,LOCATION1,BOX,RCPT,Received,2022-08-03,2022-08-05,ABC1,ABC1,SM,FLINTBOX,32000,BOX,INR
FLINTO,Buyer1,FLINTO,Buyer1,Flinto Learning Solution,B1,RCPT/20220812/200001,ITEM/FLP/CD200001,RCPT,ITEM/FLP/CD200001,LOCATION1,BOX,RCPT,Received,2022-08-04,2022-08-05,ABC1,ABC1,SM,FLINTBOX,12000,BOX,INR
FLINTO,Buyer2,FLINTO,Buyer2,Flinto Learning Solution,B2,RCPT/20220812/200002,ITEM/FLP/CD200002,RCPT,ITEM/FLP/CD200002,LOCATION1,BOX,RCPT,Received,2022-08-04,2022-08-05,ABC1,ABC1,SM,FLINTBOX,12000,BOX,INR
FLINTO,Buyer3,FLINTO,Buyer3,Flinto Learning Solution,B3,RCPT/20220812/200003,ITEM/FLP/CD200003,RCPT,ITEM/FLP/CD200003,LOCATION1,BOX,RCPT,Received,2022-08-04,2022-08-05,ABC1,ABC1,SM,FLINTBOX,12000,BOX,INR
FLINTO,Buyer4,FLINTO,Buyer4,Flinto Learning Solution,B4,RCPT/20220812/200004,ITEM/FLP/CD200004,RCPT,ITEM/FLP/CD200004,LOCATION1,BOX,RCPT,Received,2022-08-04,2022-08-05,ABC1,ABC1,SM,FLINTBOX,12000,BOX,INR
FLINTO,Buyer5,FLINTO,Buyer5,Flinto Learning Solution,B5,RCPT/20220812/200005,ITEM/FLP/CD200005,RCPT,ITEM/FLP/CD200005,LOCATION1,BOX,RCPT,Received,2022-08-04,2022-08-05,ABC1,ABC1,SM,FLINTBOX,20000,BOX,INR
FLINTO,Buyer6,FLINTO,Buyer6,Flinto Learning Solution,B6,RCPT/20220812/200006,ITEM/FLP/CD200006,RCPT,ITEM/FLP/CD200006,LOCATION1,BOX,RCPT,Received,2022-08-04,2022-08-05,ABC1,ABC1,SM,FLINTBOX,20000,BOX,INR
FLINTO,Buyer7,FLINTO,Buyer7,Flinto Learning Solution,B7,RCPT/20220812/200007,ITEM/FLP/CD200007,RCPT,ITEM/FLP/CD200007,LOCATION1,BOX,RCPT,Received,2022-08-04,2022-08-05,ABC1,ABC1,SM,FLINTBOX,20000,BOX,INR
FLINTO,Buyer8,FLINTO,Buyer8,Flinto Learning Solution,B8,RCPT/20220812/200008,ITEM/FLP/CD200008,RCPT,ITEM/FLP/CD200008,LOCATION1,BOX,RCPT,Received,2022-08-04,2022-08-05,ABC1,ABC1,SM,FLINTBOX,20000,BOX,INR
FLINTO,Buyer9,FLINTO,Buyer9,Flinto Learning Solution,B9,RCPT/20220812/200009,ITEM/FLP/CD200009,RCPT,ITEM/FLP/CD200009,LOCATION1,BOX,RCPT,Received,2022-08-04,2022-08-05,ABC1,ABC1,SM,FLINTBOX,18500,BOX,INR
FLINTO,Buyer10,FLINTO,Buyer10,Flinto Learning Solution,B10,RCPT/20220812/200010,ITEM/FLP/CD200010,RCPT,ITEM/FLP/CD200010,LOCATION1,BOX,RCPT,Received,2022-08-04,2022-08-05,ABC1,ABC1,SM,FLINTBOX,18500,BOX,INR
FLINTO,Buyer11,FLINTO,Buyer11,Flinto Learning Solution,B11,RCPT/20220812/200011,ITEM/FLP/CD200011,RCPT,ITEM/FLP/CD200011,LOCATION1,BOX,RCPT,Received,2022-08-04,2022-08-05,ABC1,ABC1,SM,FLINTBOX,18500,BOX,INR
FLINTO,Buyer12,FLINTO,Buyer12,Flinto Learning Solution,B12,RCPT/20220812/200012,ITEM/FLP/CD200012,RCPT,ITEM/FLP/CD200012,LOCATION1,BOX,RCPT,Received,2022-08-04,2022-08-05,ABC1,ABC1,SM,FLINTBOX,18500,BOX,INR
FLINTO,Buyer13,FLINTO,Buyer13,Flinto Learning Solution,B13,RCPT/20220812/200013,ITEM/FLP/CD200013,RCPT,ITEM/FLP/CD200013,LOCATION1,BOX,RCPT,Received,2022-08-04,2022-08-05,ABC1,ABC1,SM,FLINTBOX,32000,BOX,INR
FLINTO,Buyer14,FLINTO,Buyer14,Flinto Learning Solution,B14,RCPT/20220812/200014,ITEM/FLP/CD200014,RCPT,ITEM/FLP/CD200014,LOCATION1,BOX,RCPT,Received,2022-08-04,2022-08-05,ABC1,ABC1,SM,FLINTBOX,32000,BOX,INR
FLINTO,Buyer15,FLINTO,Buyer15,Flinto Learning Solution,B15,RCPT/20220812/200015,ITEM/FLP/CD200015,RCPT,ITEM/FLP/CD200015,LOCATION1,BOX,RCPT,Received,2022-08-04,2022-08-05,ABC1,ABC1,SM,FLINTBOX,32000,BOX,INR
FLINTO,Buyer16,FLINTO,Buyer16,Flinto Learning Solution,B16,RCPT/20220812/200016,ITEM/FLP/CD200016,RCPT,ITEM/FLP/CD200016,LOCATION1,BOX,RCPT,Received,2022-08-04,2022-08-05,ABC1,ABC1,SM,FLINTBOX,32000,BOX,INR
FLINTO,Buyer17,FLINTO,Buyer17,Flinto Learning Solution,B17,RCPT/20220812/200017,ITEM/FLP/CD200017,RCPT,ITEM/FLP/CD200017,LOCATION1,BOX,RCPT,Received,2022-08-04,2022-08-05,ABC1,ABC1,SM,FLINTBOX,32000,BOX,INR
FLINTO,Buyer18,FLINTO,Buyer18,Flinto Learning Solution,B18,RCPT/20220812/200018,ITEM/FLP/CD200018,RCPT,ITEM/FLP/CD200018,LOCATION1,BOX,RCPT,Received,2022-08-04,2022-08-05,ABC1,ABC1,SM,FLINTBOX,32000,BOX,INR
FLINTO,Buyer19,FLINTO,Buyer19,Flinto Learning Solution,B19,RCPT/20220812/200019,ITEM/FLP/CD200019,RCPT,ITEM/FLP/CD200019,LOCATION1,BOX,RCPT,Received,2022-08-04,2022-08-05,ABC1,ABC1,SM,FLINTBOX,32000,BOX,INR
FLINTO,Buyer20,FLINTO,Buyer20,Flinto Learning Solution,B20,RCPT/20220812/200020,ITEM/FLP/CD200020,RCPT,ITEM/FLP/CD200020,LOCATION1,BOX,RCPT,Received,2022-08-04,2022-08-05,ABC1,ABC1,SM,FLINTBOX,32000,BOX,INR
FLINTO,Buyer21,FLINTO,Buyer21,Flinto Learning Solution,B21,RCPT/20220812/200021,ITEM/FLP/CD200021,RCPT,ITEM/FLP/CD200021,LOCATION1,BOX,RCPT,Received,2022-08-04,2022-08-05,ABC1,ABC1,SM,FLINTBOX,32000,BOX,INR
FLINTO,Buyer1,FLINTO,Buyer1,Flinto Learning Solution,B1,RCPT/20220812/200001,ITEM/FLP/CD200001,RCPT,ITEM/FLP/CD200001,LOCATION1,BOX,RCPT,Received,2022-08-05,2022-08-05,ABC1,ABC1,SM,FLINTBOX,12000,BOX,INR
FLINTO,Buyer2,FLINTO,Buyer2,Flinto Learning Solution,B2,RCPT/20220812/200002,ITEM/FLP/CD200002,RCPT,ITEM/FLP/CD200002,LOCATION1,BOX,RCPT,Received,2022-08-05,2022-08-05,ABC1,ABC1,SM,FLINTBOX,12000,BOX,INR
FLINTO,Buyer3,FLINTO,Buyer3,Flinto Learning Solution,B3,RCPT/20220812/200003,ITEM/FLP/CD200003,RCPT,ITEM/FLP/CD200003,LOCATION1,BOX,RCPT,Received,2022-08-05,2022-08-05,ABC1,ABC1,SM,FLINTBOX,12000,BOX,INR
FLINTO,Buyer4,FLINTO,Buyer4,Flinto Learning Solution,B4,RCPT/20220812/200004,ITEM/FLP/CD200004,RCPT,ITEM/FLP/CD200004,LOCATION1,BOX,RCPT,Received,2022-08-05,2022-08-05,ABC1,ABC1,SM,FLINTBOX,12000,BOX,INR
FLINTO,Buyer5,FLINTO,Buyer5,Flinto Learning Solution,B5,RCPT/20220812/200005,ITEM/FLP/CD200005,RCPT,ITEM/FLP/CD200005,LOCATION1,BOX,RCPT,Received,2022-08-05,2022-08-05,ABC1,ABC1,SM,FLINTBOX,20000,BOX,INR
FLINTO,Buyer6,FLINTO,Buyer6,Flinto Learning Solution,B6,RCPT/20220812/200006,ITEM/FLP/CD200006,RCPT,ITEM/FLP/CD200006,LOCATION1,BOX,RCPT,Received,2022-08-05,2022-08-05,ABC1,ABC1,SM,FLINTBOX,20000,BOX,INR
FLINTO,Buyer7,FLINTO,Buyer7,Flinto Learning Solution,B7,RCPT/20220812/200007,ITEM/FLP/CD200007,RCPT,ITEM/FLP/CD200007,LOCATION1,BOX,RCPT,Received,2022-08-05,2022-08-05,ABC1,ABC1,SM,FLINTBOX,20000,BOX,INR
FLINTO,Buyer8,FLINTO,Buyer8,Flinto Learning Solution,B8,RCPT/20220812/200008,ITEM/FLP/CD200008,RCPT,ITEM/FLP/CD200008,LOCATION1,BOX,RCPT,Received,2022-08-05,2022-08-05,ABC1,ABC1,SM,FLINTBOX,20000,BOX,INR
FLINTO,Buyer9,FLINTO,Buyer9,Flinto Learning Solution,B9,RCPT/20220812/200009,ITEM/FLP/CD200009,RCPT,ITEM/FLP/CD200009,LOCATION1,BOX,RCPT,Received,2022-08-05,2022-08-05,ABC1,ABC1,SM,FLINTBOX,18500,BOX,INR
